[97.8, 97.7, 97.7, 97.8, 97.8, 97.8, 97.7, 97.8, 97.7, 97.7]
[96.5, 96.6 ,96.6, 96.5, 96.5, 96.6, 96.5, 96.5, 96.5, 96.6]
[98.2, 98.1, 98.1, 98.1, 98.2, 98.2, 98.2, 98.1, 98.1, 98.2]
[99.8, 99.7, 99.7, 99.8, 99.8, 99.8, 99.7, 99.7, 99.8, 99.7]
[99.9, 99.6, 99.7, 99.6, 99.7, 99.8, 99.8, 99.9, 99.7, 99.8]
[97.4, 97.4, 97.3, 97.3, 97.3, 97.4, 97.4, 97.4, 97.3, 97.3]
[101.2, 101.1, 101.1, 101.2, 101.2, 101.1, 101.1,101.2, 101.1, 101.1]
[99.6, 99.5, 99.6, 99.6, 99.5, 99.6, 99.5, 99.6, 99.5, 99.6]
[95.4, 95.3, 95.3, 95.4, 95.4, 95.4, 95.3, 95.4, 95.4, 95.3]
[98.2, 98.3, 98.2, 98.3, 98.3, 98.2, 98.3, 98.2, 98.3, 98.2]
[96.4, 96.7, 96.6, 96.4, 96.7, 96.4, 96.6, 96.8, 96.4, 96.7]
[97.6, 97.5, 97.6, 97.6, 97.5, 97.5, 97.6, 97.5, 97.6, 97.5]
[98.4, 98.5, 98.4, 98.4, 98.4, 98.5, 98.5, 98.4, 98.4, 98.4]
[96.8, 96.7, 96.7, 96.7, 96.8, 96.8, 96.8, 96.7, 96.7, 96.7]
[100.8, 100.7, 100.7, 100.8, 100.7, 100.8, 100.7, 100.8, 100.7, 100.8]
[96.7, 96.6, 96.6, 96.7, 96.7, 96.7, 96.6, 96.7, 96.6, 96.6]
[95.4, 95.5 ,95.5, 95.4, 95.4, 95.5, 95.4, 95.4, 95.4, 95.5]
[97.1, 97.0, 97.0, 97.0, 97.1, 97.1, 97.1, 97.0, 97.0, 97.2]
[98.7, 98.6, 98.6, 98.7, 98.7, 98.7, 98.6, 98.6, 98.7, 98.6]
[100.9, 100.6, 100.7, 100.6, 100.7, 100.8, 100.8, 100.9, 100.7, 100.8] 
[98.5, 98.5, 98.4, 98.4, 98.4, 98.5, 98.5, 98.4, 98.5, 98.4]
[100.1, 100.0, 100.0, 100.1, 100.1, 100.0, 100.0, 100.1, 100.0, 100.0]
[100.6, 100.5, 100.6, 100.6, 100.5, 100.6, 100.5, 100.6, 100.5, 100.6]
[96.5, 96.4, 96.4, 96.5, 96.4, 96.4, 96.5, 96.5, 96.4, 96.4]
[99.2, 99.3, 99.2, 99.3, 99.3, 99.2, 99.3, 99.2, 99.3, 99.2]
[96.5, 96.8, 96.7, 96.5, 96.8, 96.5, 96.7, 96.9, 96.5, 96.8]
[97.5, 97.4, 97.5, 97.5, 97.4, 97.4, 97.5, 97.4, 97.5, 97.4]
[98.6, 98.7, 98.6, 98.6, 98.6, 98.7, 98.6, 98.7, 98.7, 98.6]
[97.8, 97.7, 97.7, 97.7, 97.8, 97.8, 97.8, 97.7, 97.7, 97.7]
[100.8, 100.7, 100.7, 100.8, 100.7, 100.8, 100.7, 100.8, 100.9, 101.0]
